Accession	Samples	Title	Description
GSE178418	6	RNA sequence data from liver-specific Pten/Traf3 knockout mice	Intrahepatic cholangiocarcinoma (ICC) is known to have a poor prognosis among primary liver cancers. We created a mouse model of cholangiocarcinogenesis by specifically deleting Pten and Traf3 in the liver. RNA sequence was performed with RNA extracted from the liver of mice lacking liver-specific Pten and Traf3.
GSE173893	10	Next Generation Sequencing Facilitates Quantitative Analysis of  Transcriptomes in The White Adipose Tissues of Wild Type (WT) and Adipose-tissue-specific Ces1d knockout (Ces1d FKO) mice	The goal of this study is to analyze the white adipose tissue transcriptome profiling (RNA-seq) of the wild type and adipose-tissue-specific Ces1d knockout mice. Methods: White adipose tissue mRNA profiles of 14-week-HFD-fed wild-type (WT) and Ces1d adipose tissue knockout mice were collected.  Total RNA quality was measured using Agilent RNA 6000 Pico kit (#5067-1513) by Agilent Bioanalyzer 2100 (Agilent Technologies, Santa Clara, USA).
GSE199488	16	Conditional knockout of ERα in CD11c+ cells, impact on survival and inflammatory cytokines in murine lupus	Estrogen and estrogen receptor alpha (ERα) have been implicated in systemic lupus erythematosus (SLE) pathogenesis. ERα signaling influences B cell and dendritic cell (DC) development and function, as well as inflammation and downstream immune responses. We previously reported that ERα modulates TLR-stimulated inflammatory pathways in conventional and plasmacytoid DCs in lupus-prone mice. CD11chiMHCII+ cell numbers are reduced in mice with global ERα deficiency or when expressing a short variant of ERα.
GSE169254	4	TET2 and DNMT3A Mutations Exert Divergent Effects on DNA Repair and Sensitivity of Leukemia Cells to PARP Inhibitors	TET2 and DNMT3A regulate the sensitivity to PARP inhibitor
GSE188291	24	RNA-seq study on mouse bone marrow leukemia cells isolated from secondary transplant recipients receiving conditional knockout Arid1b or Arid2 MLL-AF9 cells	We isolated whole bone marrow leukemia cells from moribund secondary transplant recipients receiving VavCre+ (control), Arid1b fl/fl VavCre+ (knockout), Arid2 fl/fl VavCre+ (knockout), MxCre+ (control), Arid1b fl/fl MxCre+ (knockout), or Arid2 fl/fl MxCre+ (knockout) primary MLL-AF9 cells. Mice receiving MxCre+ (control), Arid1b fl/fl MxCre+ (knockout), or Arid2 fl/fl MxCre+ (knockout) MLL-AF9 cells were injected with pIpC 21 days post transplant.
GSE179340	6	ACTL6a knockout peripheral nerve RNA seq at postnatal day 3	Cells need to integrate chemical and physical signals into transcriptional programs. In the peripheral nerves, axonal caliber selection by specialized Schwann cells, is critical for developmental myelination. However, only mechanisms through which Schwann cells sense chemical signals are well characterized. We identify ACtin-Like protein 6a (ACTL6a), a component of the SWI/SNF chromatin remodeling complex, as critical for axonal caliber recognition and developmental myelination.
GSE197257	6	RNA-seq analysis of wildtype and GPD2 knockout cancer cells	Our purpose of the RNA-seq analysis in WT and GPD2 KO was to observe the overall changes in cancer cell's metabolism. In perspective of metabolomics, the RNA-seq result showed that there is not much change in carbohydrate and energy metabolism, such as glycolysis, galactose metabolism, and oxidative phosphorylation, and there was more change in lipid metabolism, especially in steroid boisynthesis and ether lipid metabolism.
GSE186986	4	Single-cell RNA-sequencing of skin immune cells uncover a role for Angptl4-mediated ifi20b expression in monocyte cell fate differentiation during wound healing	Angiopoietin-like protein 4 (Angptl4) is a matricellular protein that associates with extracellular matrix proteins, mediating complex cell-cell, and cell-matrix interactions. It has been implicated in various inflammation-associated diseases, including wound healing, but very few reports describe a direct role for Angptl4 in the immune landscape of wound microenvironment. Here, we studied whether Angptl4 regulates the immune response during wound healing.
GSE197497	2	A novel high throughput screen to identify candidate molecular networks that regulate spermatogenic stem cell functions	To understand the role of the transcription factor ZSCAN2 in regulating spermatogonial stem cell function, we performed single cell RNA-sequencing on testis cells enriched for spermatogonia, comparing control populations with populations from a CRISPR-generated Zscan2-knockout mouse line. Transcriptome profiling revealed that ZSCAN2 deficiency alters key cellular processes in undifferentiated spermatogonia such as translation, chromatin modification, and ubiquitination.
GSE196012	8	Brap regulates liver morphology and hepatocyte turnover via modulation of the Hippo pathway	Regulation of hepatocyte proliferation and liver morphology is of critical importance to tissue and whole-body homeostasis. However, the molecular mechanisms that underlie this complex process are incompletely understood. Here we describe a novel role for the ubiquitin ligase BRAP in regulation of hepatocyte morphology and turnover via regulation of MST2, a protein kinase in the Hippo pathway.  The Hippo pathway has been implicated in control of liver morphology, inflammation and fibrosis.
GSE197297	8	Epicardial Hdac3 promotes myocardial growth through a novel microRNA pathway [mRNA-seq]	The purpose of the study was to compare epicardial transcript abundance between control and Hdac3 knockout (KO) epicardial cells (MEC).
GSE185067	4	RNAseq analysis of adipose tissue transcriptomes from wild-type and FNIP1 adipocyte specific knockout (FNIP1-AKO) mice	Activation of thermogenesis in brown and beige adipocytes upon activation by external stimuli burns fuel energy as heat. Owing to its remarkable benefits on metabolic health and its demonstrated presence in adult humans, beige adipocytes holds great promise to combat obesity and metabolic diseases. Folliculin interacting protein 1 (FNIP1) is an adaptor protein originally identified through its interaction with folliculin (FLCN) and AMPK.
GSE196639	6	Transcriptom of Wild type and Lnc956 knockout mouse embryo	Purpose: The goal of this study is to compare gene expression profiling of wild type and Lnc956 knockout mouse embryo.
GSE167390	24	Effects on mRNA levels of a Numb and Numb-like conditional knockout in skeletal muscle fibers	We investigated the gene expression changes resulting from loss of Numb from skeletal muscle fibers using a conditional, inducible knockout of Numb and its close homolog Numb-like (NumbL) bulk RNA-sequencing.
GSE190822	10	Whole lung transcriptome from lung epithelial IRE1α knockout mice	This experiment sought to characterize the whole lung transcriptional changes induced by loss of IRE1a function in the lung epithelium. Mice were Shh(Cre/+) IRE1a(fl/fl) on the C57BL/6 background, and had loss of IRE1a function in the epithelium based on XBP1 splicing activity. Lungs from uninjured mice were harvested, flash-frozen, homogenized, and RNA isolated by Trizol extraction.
GSE164558	6	Transcriptome profiling of wild-type (WT) and USP8 knockout (KO) CT26 cell lines	USP8 is one of DUBs and is frequently overexpressed or gain-of-function mutated in multiple types of human cancer. Importantly, USP8 has been identified as an immunomodulatory DUB as T cell-specific Usp8 deficiency disrupts regulatory T cell functions, leading to recruiting abundant CD8+ T cells in colons and resulting in the inflammatory bowel disease in mice. However, whether targeting USP8 can enhance anti-tumor immunity has not been reported.
GSE180204	16	LRH1 can help reprogram sexual cell fate and is required for Sertoli cell development and spermatogonial stem cell maintenance in the mouse testis	The mammalian nuclear hormone receptors LRH1 and SF1 are close paralogs that can bind the same DNA site and play crucial roles in gonadal development and function. Lrh1 has been shown to be essential for follicle development in the ovary and also has been proposed to regulate steroidogenesis in the testis, but genetic analysis of its role in the male gonad has not been reported. Here we use conditional genetics to examine Lrh1 requirements in gonadal cell fate reprogramming and in normal development of the three major cell lineages of the mouse testis.
GSE196220	24	mRNA transcriptome sequencing of wild type (WT) and intestinal epithelial cell specific Axin1 Knockout mice (Axin1KOΔIEC) that have udergone DSS-induced colitis and AOM/DSS-induced colorectal tumorigenesis	Purpose : The goals of this study are to compare NGS-derived transcriptome profiling (RNA-seq) of colon samples of intestinal epithelial cell specific Axin1 Knockout mice and WT controls that were submitted to DSS-induced colitis and AOM/DSS-induced colorectal carcinogenesis. Methods : DSS-induced colitis was performed on Axin1flfl (WT) and Vil CreERT2;Axin1fl/fl (Axin1KOΔIEC) mice by giving 3% DSS dissolved in drinking water for 7 days and subsequently placed on regular water for recovery before sacrifice at Day 7 and D13.
GSE176087	8	Single-cell RNA sequencing of CD45+ cells resided in the small intestine of wild-type and Dusp6 knockout mice	To assess whether Dusp6 deficiency exerts alteration to intestinal immune cells specifically, we further applied the single-cell RNA sequencing with 10X Genomics platform in Dusp6-knockout (D6KO) mice and littermate wild-type (WT) control mice under chow diet. The intestines of wild-type and Dusp6-knockout mice (11 weeks old) were harvested and the live intestinal immune cells from the intraepithelial compartment and the laminar propria were collected with CD45+ marker by magnetic-activated cell sorting (MACS) MicroBeads and fluorescence-activated cell sorting (FACS) for downstream 10X Genomics Chromium Single Cell 3' Solution.
GSE181175	2	Single cell RNA sequencing for dental pulp cells in endothelial Vegfr2 knockout mice	Single cell RNA sequencing for dental pulp cells of first molars in control and endothelial Vegfr2 knockout mice at P12
GSE155011	2	Single-cell RNA-sequencing of murine breast tumor infiltrating immune cells isolated from the site of metastasis in wild-type and short-form Ron knockout mice	Metastatic breast cancer is the overwhelming cause of breast cancer mortality and is still incurable. Development of immunotherapy is an exciting new area of research in metastatic breast cancer; however, the extreme immunosuppressive tumor environment poses a major challenge. Here we provide evidence that a particular isoform of Ron kinase, short-form Ron (SF-Ron), strongly suppresses anti-tumor immune responses and promotes metastatic outgrowth of mammary tumors.
